タイトル,著者,Wikipediaの紹介,ジャンル,おすすめ度
のたり松太郎,ちばてつや,人並み外れた怪力を持つ暴れん坊の大男・坂口松太郎が相撲部屋に入門し、一人前の力士に育つというストーリーを中心に、相撲部屋の日常や力士達の一喜一憂を描いた作品である。,スポーツ,4
HUNTERxHUNTER,冨樫義博,主人公の少年・ゴン＝フリークスがまだ見ぬ父親のジンと会うため、父の職業であったハンターとなり、仲間達との絆を深めながら成長する様を描いた冒険活劇。,活劇,5
のんのんばあとオレ,水木しげる,楽しみが多くて勉強どころではなかった水木の少年時代のこと、のんのんばあが語って聞かせてくれたお化けや妖怪の世界のこと、隣町のガキ大将との熾烈な攻防戦のこと、のんのんばあの死のことなど、主に水木の少年時代の楽しく、また切ない思い出がつづられている。,エッセイ,5
うる星やつら,高橋留美子,浮気者の高校生・諸星あたると、彼を愛する一途な宇宙人美少女・ラムを中心に架空の町、友引町や宇宙や異次元などを舞台にしたドタバタラブコメディ。,ラブコメ,4
まんが道,藤子不二雄A,漫画家を目指す2人の少年の成長を描いた長編青春漫画である。,職業,4
カムイ伝,白土三平,江戸時代の様々な階級の人間の視点から重層的に紡ぎ上げられた物語となっている。名脇役が数多く登場する壮大なスケールのこの物語は、1964年の連載開始から50年以上経過しながらも完結を果たせずに作者は亡くなった。白土自身の漫画家生活の大半をこの作品に費やしたことから、白土のライフワークとも言われる。,活劇,4
キン肉マン,ゆでたまご,日本に住む人間を超越した存在・超人のキン肉マンことキン肉スグルが、仲間の正義超人と共に、次々に立ちはだかる強敵とリング上で戦っていく、プロレス系格闘漫画。,スポーツ,2
SLAM DUNK,井上雄彦,主人公の不良少年桜木花道の挑戦と成長を軸にしたバスケットボール漫画。,スポーツ,4
アドルフに告ぐ,手塚治虫,第二次世界大戦前後の時代、ドイツと日本を舞台に、「アドルフ」というファーストネームを持つ3人の男達を主軸とし「ヒトラーがユダヤ人の血を引く」という機密文書を巡って、2人のアドルフ少年の友情が巨大な歴史の流れに翻弄されていく様と様々な人物の数奇な人生を描く。,現代劇,3
寄生獣,岩明均,人間を捕食する本能を持つ寄生生物が飛来した現代の日本を舞台に、ごくふつうの高校生・泉新一と、彼の右手に寄生した未知の生物ミギーの奇妙な共生関係と、彼らが繰り広げる寄生生物たちとの戦いを描いたSF作品。,活劇,5
バオー来訪者,手塚治虫,主人公は、生物兵器「バオー」へと改造された青年「橋沢育朗」と予知能力を持つ少女「スミレ」の2人。バオーの超人的能力を狙う、政府系の秘密組織「ドレス」からの逃避行を中心に、2人の成長と相思を綴った物語。,活劇,3
中年スーパーマン左江内氏,藤子F不二雄,ごく平凡な中年サラリーマンの左江内はある日「スーパーマン」を自称する初老の男性に付きまとわれ、スーパーマン業の後がまになってくれないかともちかけられる。,ギャグ,3
すすめ!!パイレーツ,江口寿史,プロ野球チーム「千葉パイレーツ」とその選手達を中心に描いた野球漫画。,ギャグ,5
キャプテン,ちばあきお,主人公・谷口タカオを始め、等身大の野球少年をリアルに描きヒットした名作だが、作者であるちばあきおの体調の都合で休載し、その後作者が急逝したため未完となっている。,スポーツ,5
Dr.スランプ,鳥山明,ペンギン村に住む発明家である則巻千兵衛が作った女の子タイプの人間型ロボット（アンドロイド）・則巻アラレを中心とした、ペンギン村に住む住民たちのハチャメチャな日常を描いたギャグ漫画。,ギャグ,4
静かなるドン,新田たつお,主人公の近藤静也は昼間、下着会社プリティの冴えないデザイナーだが、実は1万人の子分を持つ広域暴力団・新鮮組総長の一人息子。二代目総長が敵対組織に撃たれて、新鮮組内の二大勢力である肘方と生倉のどちらが継いでも内部抗争になることを恐れた母である近藤妙は静也を三代目総長とする。そんな近藤静也のカタギ人生とヤクザ人生の奮闘を描いていく。,現代劇,4
MASTERキートン,浦沢直樹,元特殊部隊の平賀＝キートン・太一が、オプ(保険調査員)として各地に派遣され、報告書作成のためと言いながら事件に肩入れしていく職業漫画。 ,現代劇,4
デビルマン,永井豪,悪魔と人間のハーフであるデビルマンこと不動明と、彼を取り巻く悪魔や人間達との戦いを描いたダークヒーロー漫画。,活劇,3
魁!!男塾,宮下あきら,行き場の無くなった不良少年たちを全国から集め、過激なスパルタ教育を施す男塾。そこに籍を置く塾生たちの根性や友情、死闘を描く物語。,活劇,2
デカスロン,山田芳裕,天性の運動神経を持つ風見万吉が素人同然の状態から十種競技に挑み、徐々に活躍の場を世界へと広げていく物語。,スポーツ,4
サラリーマン金太郎,本宮ひろ志,主人公・矢島金太郎のサラリーマンとしての活躍と成長を描いたビジネス漫画。,現代劇,4
